timestamp,voltage_V,current_A,power_W
16.254,25.6337,1.57200,40.681
16.279,25.6425,1.57750,40.888
16.304,25.6363,1.57700,40.544
16.329,25.6337,1.56900,40.675
16.354,25.6425,1.57325,40.356
16.379,25.6487,1.58500,40.519
16.404,25.6275,1.58425,40.519
16.429,25.6400,1.57450,40.325
16.454,25.6300,1.58075,40.263
16.479,25.6487,1.58925,40.450
16.504,25.6337,1.59850,40.400
16.529,25.6487,1.58625,40.550
16.554,25.6363,1.59050,40.456
16.579,25.6337,1.58925,40.562
16.604,25.6575,1.58550,40.469
16.629,25.6425,1.57200,40.775
16.654,25.6450,1.58175,40.406
16.680,25.6337,1.58425,40.369
16.706,25.6513,1.58000,40.369
16.731,25.6425,1.59300,40.519
16.756,25.6450,1.58000,40.600
16.782,25.6300,1.59850,40.725
16.807,25.6425,1.58000,40.531
16.832,25.6363,1.58125,40.431
16.858,25.6300,1.57950,40.663
16.884,25.6612,1.58375,40.963
16.910,25.6487,1.60400,41.219
16.935,25.6425,1.57750,40.388
16.961,25.6450,1.60100,40.625
16.986,25.6363,1.58975,40.456
17.011,25.6275,1.58875,40.469
17.037,25.6363,1.58250,40.481
17.063,25.6337,1.57575,40.500
17.089,25.6363,1.58175,41.013
17.115,25.6425,1.56150,40.388
17.140,25.6363,1.58425,40.613
17.166,25.6300,1.60275,40.806
17.192,25.6513,1.60700,40.869
17.217,25.6337,1.57950,40.438
17.243,25.6513,1.57825,40.288
17.269,25.6450,1.58625,40.500
17.295,25.6400,1.57500,40.744
17.321,25.6400,1.58800,40.869
17.345,25.6487,1.57825,40.456
17.370,25.6400,1.57950,40.725
17.396,25.6400,1.57825,40.663
17.420,25.6363,1.57275,40.950
17.445,25.6450,1.56825,40.294
17.470,25.6275,1.60100,40.950
17.495,25.6363,1.57575,40.356
17.521,25.6450,1.58175,40.775
17.547,25.6275,1.57825,40.788
17.573,25.6337,1.58250,40.438
17.598,25.6212,1.58250,40.306
17.624,25.6400,1.56775,40.069
17.649,25.6275,1.58625,40.469
17.675,25.6300,1.57750,40.294
17.700,25.6363,1.57025,40.181
17.726,25.6550,1.56475,40.706
17.752,25.6363,1.56275,40.369
17.777,25.6300,1.57500,40.513
17.803,25.6450,1.58375,40.312
17.828,25.6337,1.58925,40.488
17.854,25.6337,1.59350,40.419
17.879,25.6400,1.58125,40.631
17.904,25.6513,1.57575,40.263
17.929,25.6400,1.58925,40.656
17.954,25.6363,1.57450,40.631
17.979,25.6363,1.58250,40.819
18.004,25.6400,1.56150,40.113
18.029,25.6275,1.57375,40.581
18.054,25.6275,1.56950,40.263
18.079,25.6337,1.57150,40.513
18.104,25.6363,1.56025,40.175
18.129,25.6275,1.57200,40.256
18.154,25.6400,1.56950,40.144
18.180,25.6400,1.57075,40.406
18.206,25.6425,1.57150,40.338
18.231,25.6487,1.58425,40.469
18.257,25.6363,1.57025,40.594
18.282,25.6337,1.59225,40.419
18.308,25.6425,1.58075,40.312
18.334,25.6513,1.56825,40.119
18.360,25.6363,1.57450,40.562
18.386,25.6425,1.57075,40.375
18.411,25.6513,1.57450,40.581
18.437,25.6425,1.57625,40.613
18.462,25.6550,1.59050,40.806
18.488,25.6550,1.56650,40.000
18.514,25.6450,1.57075,40.088
18.539,25.6450,1.57375,40.406
18.565,25.6400,1.57325,40.356
18.590,25.6400,1.56900,40.356
18.616,25.6425,1.56025,40.562
18.642,25.6400,1.56525,40.419
18.667,25.6363,1.57625,40.062
18.693,25.6363,1.56825,39.719
18.719,25.6425,1.57075,39.975
18.744,25.6337,1.56150,39.969
18.770,25.6337,1.57325,40.356
18.795,25.6450,1.56900,40.100
18.820,25.6363,1.56025,40.181
18.845,25.6337,1.56400,40.000
18.870,25.6450,1.57750,40.338
18.895,25.6425,1.57500,40.306
18.920,25.6363,1.57750,40.225
18.945,25.6363,1.57275,40.062
18.970,25.6337,1.57325,40.213
18.995,25.6337,1.58075,40.200
19.020,25.6450,1.58500,40.450
19.045,25.6300,1.57450,40.150
19.070,25.6450,1.57950,40.400
19.095,25.6425,1.57825,40.613
19.120,25.6363,1.58500,40.675
19.145,25.6400,1.56475,40.769
19.170,25.6363,1.57500,40.312
19.195,25.6300,1.57450,40.406
19.220,25.6400,1.56950,40.356
19.245,25.6337,1.57625,40.244
19.270,25.6363,1.56100,39.875
19.295,25.6363,1.56475,39.906
19.320,25.6300,1.57200,40.338
19.345,25.6337,1.58425,40.681
19.371,25.6400,1.57375,40.594
19.397,25.6300,1.58800,40.706
19.422,25.6337,1.56350,40.263
19.448,25.6487,1.57750,40.594
19.474,25.6400,1.60900,40.794
19.499,25.6275,1.59725,40.431
19.525,25.6337,1.57450,40.344
19.550,25.6300,1.58500,40.519
19.576,25.6337,1.58675,40.756
19.601,25.6337,1.59175,40.388
19.627,25.6337,1.57950,40.769
19.652,25.6425,1.57875,40.631
19.678,25.6300,1.59475,41.062
19.704,25.6400,1.59725,41.081
19.729,25.6300,1.59225,41.175
19.754,25.6363,1.58300,40.681
