timestamp,voltage_V,current_A,power_W,soc_pct
1.3001,26.3900,0.93675,25.069,67.6
1.3017,26.3950,0.94300,25.406,67.8
1.3032,26.3613,0.94650,26.100,66.5
1.3047,26.3837,0.93625,24.575,67.3
1.3063,26.3950,0.94350,25.131,67.8
1.3078,26.3863,0.95150,24.738,67.4
1.3094,26.3775,0.96025,24.881,67.1
1.3110,26.3950,0.94600,24.831,67.8
1.3126,26.3712,0.94650,24.738,66.9
1.3155,26.3987,0.95225,24.850,67.9
1.3170,26.4050,0.93850,25.006,68.1
1.3187,26.3525,0.95025,25.169,66.2
1.3203,26.3987,0.94100,24.881,67.9
1.3218,26.3925,0.93625,25.444,67.7
1.3235,26.3837,0.94850,25.569,67.3
1.3250,26.4050,0.93975,25.456,68.1
1.3265,26.3950,0.94600,25.562,67.8
1.3309,26.3675,0.95775,25.325,66.7
1.3335,26.3863,0.95225,24.925,67.4
1.3351,26.3738,0.95325,25.088,67.0
1.3368,26.3837,0.96825,25.469,67.3
1.3385,26.3738,0.94600,25.056,67.0
1.3401,26.3800,0.94425,25.550,67.2
1.3417,26.3863,0.93975,25.294,67.4
1.3432,26.3738,0.95100,25.613,67.0
1.3448,26.3863,0.93975,25.812,67.4
1.3466,26.3837,0.93750,25.038,67.3
1.3495,26.3775,0.93250,24.731,67.1
1.3510,26.3950,0.95275,25.119,67.8
1.3525,26.4050,0.95525,24.956,68.1
1.3540,26.3775,0.95100,24.881,67.1
1.3555,26.4075,0.94650,25.088,68.2
1.3582,26.3925,0.94225,25.019,67.7
1.3597,26.3837,0.94225,25.344,67.3
1.3613,26.3925,0.94475,25.331,67.7
1.3628,26.3987,0.94300,25.138,67.9
1.3643,26.3900,0.95100,25.506,67.6
1.3660,26.3900,0.94600,25.069,67.6
1.3676,26.3738,0.95650,24.994,67.0
1.3692,26.3925,0.96625,25.069,67.7
1.3709,26.3863,0.95650,24.713,67.4
1.3725,26.3900,0.95450,25.138,67.6
1.3742,26.3775,0.95775,25.263,67.1
1.3770,26.3800,0.95700,25.263,67.2
1.3787,26.4050,0.96700,25.263,68.1
1.3803,26.3950,0.96075,25.131,67.8
1.3831,26.3712,0.97125,24.975,66.9
1.3847,26.4075,0.97600,25.213,68.2
1.3861,26.3925,0.94425,25.675,67.7
1.3890,26.3775,0.94900,25.138,67.1
1.3905,26.3925,0.94550,24.925,67.7
1.3920,26.3925,0.94650,25.056,67.7
1.3935,26.3775,0.95275,25.150,67.1
1.3949,26.3987,0.95275,24.963,67.9
1.3965,26.3837,0.96025,24.763,67.3
1.3979,26.3712,0.95150,24.719,66.9
1.4002,26.3837,0.94550,25.500,67.3
1.4019,26.3837,0.95100,25.281,67.3
1.4047,26.3925,0.95525,25.275,67.7
1.4075,26.3925,0.95400,24.988,67.7
1.4102,26.3900,0.94975,24.863,67.6
1.4117,26.3900,0.94775,24.875,67.6
1.4131,26.4075,0.95400,25.025,68.2
1.4146,26.4200,0.97000,25.056,68.7
1.4160,26.3837,0.97500,24.850,67.3
1.4175,26.3900,0.93800,25.200,67.6
1.4189,26.3738,0.95025,25.250,67.0
1.4204,26.3775,0.94175,24.738,67.1
1.4219,26.3675,0.93425,25.500,66.7
1.4235,26.3987,0.95150,24.881,67.9
1.4249,26.3837,0.94350,24.844,67.3
1.4264,26.3950,0.94300,24.938,67.8
1.4291,26.3950,0.96450,24.938,67.8
1.4318,26.3863,0.95900,25.444,67.4
1.4333,26.3738,0.94550,25.388,67.0
1.4348,26.4050,0.95025,25.531,68.1
1.4376,26.3900,0.94975,25.756,67.6
1.4392,26.3925,0.96875,25.731,67.7
1.4409,26.3900,0.95775,25.469,67.6
1.4425,26.3900,0.95825,25.131,67.6
1.4441,26.3950,0.96375,24.769,67.8
1.4470,26.3675,0.93625,25.569,66.7
1.4485,26.3837,0.93425,24.881,67.3
1.4501,26.3775,0.94550,25.356,67.1
1.4530,26.3863,0.94100,25.038,67.4
1.4546,26.4013,0.96925,24.988,68.0
1.4563,26.3900,0.95825,25.194,67.6
1.4580,26.3775,0.97250,25.131,67.1
1.4595,26.3775,0.96500,25.275,67.1
1.4610,26.4013,0.94050,25.100,68.0
1.4625,26.3950,0.94525,25.488,67.8
1.4653,26.3837,0.95525,25.356,67.3
1.4668,26.4013,0.94725,25.406,68.0
1.4683,26.3987,0.94900,25.506,67.9
1.4700,26.3738,0.94900,25.519,67.0
1.4716,26.3738,0.93625,24.994,67.0
1.4745,26.3800,0.95525,25.200,67.2
1.4760,26.3950,0.94175,25.219,67.8
1.4777,26.3712,0.95650,25.150,66.9
1.4793,26.3863,0.94600,25.138,67.4
1.4822,26.3900,0.94350,25.006,67.6
1.4837,26.3712,0.94050,25.938,66.9
1.4853,26.4050,0.94350,25.375,68.1
1.4870,26.3738,0.94350,25.519,67.0
1.4887,26.3675,0.94050,25.744,66.7
1.4903,26.3800,0.93925,25.788,67.2
1.4919,26.3987,0.94600,25.531,67.9
1.4935,26.3775,0.94650,25.775,67.1
1.4951,26.3987,0.94725,24.812,67.9
1.4967,26.3987,0.94650,25.488,67.9
